0000 S L5 C2 H275 #000003
0001 R L6 C2 H151 #000100
0002 S L7 C2 H24 #040000
0003 R L9 C3 H177 #000302
0004 S L11 C2 H330 #080308
0005 P L13 C3 H96 #0b0800
0006 S L16 C1 H169 #080f0d
0007 S L21 C3 H342 #1f121b
0008 S L21 C2 H157 #121c16
0009 S L24 C3 H64 #271c11
0010 S L25 C2 H183 #192422
0011 S L28 C2 H74 #2e271e
0012 S L29 C2 H280 #282935
0013 S L32 C3 H77 #3c3121
0014 S L33 C3 H323 #3b303c
0015 S L36 C3 H316 #443849
0016 S L39 C3 H193 #334949
0017 S L40 C2 H51 #52443c
0018 S L43 C2 H77 #564f45
0019 S L44 C3 H353 #624b54
0020 S L47 C2 H118 #5a5d50
0021 S L48 C2 H334 #675a64
0022 S L51 C1 H79 #6a655f
0023 S L53 C2 H282 #6b6c75
0024 S L55 C3 H130 #6b7660
0025 S L58 C3 H202 #688081
0026 S L59 C2 H310 #7f7984
0027 S L61 C2 H127 #7f8577
0028 S L66 C0 H225 #8f9293
0029 S L68 C3 H335 #a593a1
0030 S L69 C2 H80 #a2998a
0031 S L73 C1 H45 #afa7a4
0032 S L77 C1 H171 #afb6b3
0033 S L80 C2 H58 #cabbb0
0034 S L80 C2 H195 #aec3c3
0035 S L83 C2 H302 #c9c3d3
0036 S L84 C3 H189 #b6d1ce
0037 S L84 C2 H79 #d3cabd
0038 S L88 C3 H348 #e9ceda
0039 S L88 C2 H192 #ccdcdb
0040 S L91 C3 H303 #e3dcf0
0041 S L91 C2 H101 #e3e2d6
0042 S L95 C3 H310 #f4e8fe
0043 S L96 C2 H225 #e6f5fc
0044 S L97 C2 H70 #fff2e4
0045 P L17 C7 H1 #24000d
0046 R L21 C11 H10 #34000f
0047 P L26 C11 H8 #49001b
0048 R L27 C14 H10 #4d0019
0049 P L31 C14 H2 #5c002a
0050 S L31 C7 H2 #4c1e2d
0051 S L34 C11 H2 #611632
0052 R L34 C16 H4 #6d0031
0053 S L35 C6 H9 #552c33
0054 R L36 C18 H13 #760027
0055 R L40 C20 H11 #870032
0056 S L40 C14 H12 #841633
0057 R L43 C22 H8 #95003d
0058 P L43 C18 H8 #95003e
0059 S L46 C14 H2 #922f53
0060 P L47 C20 H9 #a70044
0061 R L47 C25 H1 #a80055
0062 S L48 C17 H6 #a3214f
0063 S L50 C7 H12 #845258
0064 R L50 C24 H8 #b7004d
0065 S L51 C19 H6 #b61654
0066 S L52 C12 H15 #a54753
0067 P L54 C24 H6 #ca005b
0068 R L54 C29 H1 #c90066
0069 S L55 C20 H11 #c82554
0070 R L56 C29 H7 #d3005c
0071 S L56 C9 H10 #a25c67
0072 S L56 C15 H7 #bb4565
