3000 S L13 C0 H250 #060708
3001 S L16 C3 H78 #140b01
3002 S L19 C3 H173 #041712
3003 S L22 C0 H331 #1c1a1c
3004 S L24 C3 H239 #132029
3005 S L27 C1 H189 #242827
3006 S L28 C3 H220 #152c33
3007 S L29 C2 H348 #34282e
3008 S L31 C2 H262 #2b313b
3009 S L37 C2 H218 #304247
3010 S L38 C2 H131 #3e4438
3011 S L40 C1 H135 #464845
3012 S L40 C3 H294 #494559
3013 S L42 C2 H324 #524a52
3014 S L46 C3 H47 #665249
3015 S L47 C1 H219 #555c5e
3016 S L50 C2 H158 #59685e
3017 S L50 C1 H248 #5f656a
3018 S L51 C3 H358 #725f64
3019 S L54 C3 H75 #7c6d5a
3020 S L55 C2 H354 #7b6c72
3021 S L58 C1 H133 #7a7d78
3022 S L64 C3 H257 #7f8c9e
3023 S L67 C2 H135 #90998b
3024 S L70 C2 H5 #aa9b9e
3025 S L74 C3 H334 #b8a3b3
3026 S L81 C3 H132 #b9c3b2
3027 S L82 C1 H103 #c6c6c1
3028 S L86 C1 H216 #c9d2d4
3029 S L88 C1 H317 #dcd6df
3030 R L97 C3 H0 #fff2f5
3031 R L19 C9 H5 #2c000f
3032 S L24 C9 H14 #400412
3033 S L27 C6 H5 #3c1922
3034 R L32 C17 H14 #65001f
3035 S L36 C14 H3 #740337
3036 S L37 C8 H6 #622d3a
3037 S L39 C13 H2 #781b40
3038 P L41 C18 H13 #8d0031
3039 S L44 C13 H13 #8c283c
3040 S L45 C16 H11 #9b1940
3041 P L46 C19 H3 #a0004d
3042 S L47 C15 H11 #9b2c47
3043 S L48 C19 H12 #ae0e41
3044 R L48 C26 H7 #af004c
3045 R L50 C24 H0 #b5005e
3046 P L52 C21 H5 #be0059
3047 S L52 C16 H9 #b03957
3048 S L53 C10 H9 #9e5060
3049 S L54 C21 H6 #c7115c
3050 S L55 C18 H3 #be3466
3051 S L56 C6 H15 #956467
3052 R L56 C26 H2 #d3006b
3053 R L57 C29 H2 #d9006d
3054 S L58 C17 H9 #ca4265
3055 R L58 C29 H7 #e10064
3056 S L58 C10 H4 #ae6074
3057 R L59 C27 H14 #e50051
3058 S L61 C11 H1 #b96780
3059 R L62 C29 H2 #f1007a
3060 S L62 C21 H0 #e23b81
3061 S L62 C16 H3 #d2577f
3062 S L65 C14 H11 #d4667a
3063 S L65 C19 H12 #eb5272
3064 P L66 C29 H4 #ff3282
3065 R L67 C31 H1 #ff338a
3066 S L68 C19 H9 #f5577e
3067 R L68 C33 H3 #ff498c
3068 R L70 C26 H12 #ff5b7b
3069 P L70 C22 H4 #ff5c92
3070 R L71 C34 H3 #ff6094
3071 R L71 C33 H15 #ff697e
3072 R L72 C27 H11 #ff6a87
3073 R L75 C26 H13 #ff7f90
3074 R L75 C29 H6 #ff7e9f
3075 S L76 C12 H8 #f092a4
3076 R L78 C22 H7 #ff93aa
3077 R L81 C18 H11 #ffa1af
3078 S L81 C10 H6 #f8a8b9
3079 P L84 C11 H14 #ffb1b7
3080 S L84 C8 H8 #fbb7c2
3081 S L18 C5 H17 #250509
3082 S L23 C4 H16 #2e1517
3083 R L29 C15 H18 #560014
3084 S L30 C8 H27 #4f1a17
3085 S L33 C8 H19 #581f23
3086 S L38 C13 H24 #79141b
3087 S L38 C11 H24 #712726
3088 S L41 C13 H19 #81252e
3089 R L44 C21 H25 #9e0018
3090 P L45 C18 H17 #9f002f
3091 R L46 C24 H21 #a40026
3092 S L47 C18 H27 #a9171a
3093 S L49 C8 H26 #864d48
3094 S L49 C18 H21 #b21a2f
3095 S L49 C14 H18 #a23742
3096 R L50 C24 H18 #bb0034
3097 P L51 C23 H27 #bf0014
3098 S L52 C6 H19 #875b5b
3099 S L54 C21 H20 #cb1338
3100 P L55 C23 H15 #d40045
3101 S L56 C17 H26 #c3423e
3102 R L58 C28 H21 #e60038
3103 R L59 C28 H27 #e9001a
3104 S L61 C20 H25 #e03f3f
3105 R L61 C28 H22 #f50039
3106 S L62 C20 H18 #e54057
3107 S L63 C14 H17 #d06069
3108 S L63 C24 H19 #f8234d
3109 S L63 C11 H28 #c36e64
3110 R L64 C30 H17 #ff064f
3111 S L66 C18 H21 #ea5961
3112 R L67 C28 H26 #ff4745
3113 R L67 C32 H23 #ff4c52
3114 P L68 C22 H25 #ff5654
3115 S L69 C16 H24 #ed6c69
3116 S L69 C10 H18 #cf8284
3117 R L69 C28 H18 #ff5769
3118 S L69 C6 H27 #be8e88
3119 P L71 C21 H21 #ff6b6f
3120 R L71 C29 H24 #ff6d69
3121 R L72 C32 H26 #ff7068
3122 R L73 C24 H22 #ff7575
3123 S L73 C13 H17 #ed868b
3124 S L74 C11 H26 #e89087
3125 R L75 C27 H21 #ff8383
3126 R L76 C19 H20 #ff898b
3127 S L78 C4 H17 #d2adad
3128 R L79 C16 H25 #ff9c94
3129 S L80 C8 H21 #eea7a5
3130 R L80 C20 H25 #ff9f98
3131 P L81 C11 H17 #ffa4a8
3132 S L83 C7 H17 #efb7b8
3133 R L83 C17 H24 #ffb2ac
3134 R L84 C15 H16 #ffb5b8
3135 S L85 C4 H17 #e6c5c6
3136 P L91 C5 H30 #ffd8d2
3137 P L22 C9 H32 #380400
3138 S L27 C4 H32 #371e1a
3139 P L37 C13 H41 #6e2400
3140 S L37 C7 H43 #5e3422
3141 S L40 C10 H33 #743124
3142 S L45 C16 H31 #9c2112
3143 P L48 C19 H34 #a82200
3144 S L50 C12 H40 #9b4627
3145 S L51 C9 H36 #905241
3146 P L53 C19 H36 #be3200
3147 S L57 C11 H44 #b0603c
3148 P L58 C23 H31 #e31f00
3149 S L59 C16 H38 #ca532d
3150 S L63 C17 H34 #dd5639
3151 S L64 C9 H45 #b97a5e
3152 R L64 C23 H40 #eb5000
3153 P L67 C27 H34 #ff4a20
3154 R L67 C29 H31 #ff4f39
3155 S L68 C10 H41 #ce8467
3156 R L70 C26 H34 #ff6846
3157 P L73 C19 H43 #ff7a3e
3158 R L73 C22 H30 #ff7b68
3159 S L76 C8 H31 #de9d90
3160 S L77 C6 H42 #d5a795
3161 R L77 C21 H35 #ff9075
3162 R L79 C19 H31 #ff9b89
3163 P L80 C14 H33 #ffa18c
3164 P L85 C11 H33 #ffb9aa
3165 R L86 C13 H44 #ffc1a6
3166 P L87 C8 H33 #ffc3b6
3167 R L90 C10 H35 #ffd3c8
3168 S L33 C8 H59 #532a01
3169 P L41 C12 H51 #773500
3170 S L42 C6 H56 #65432b
3171 P L53 C14 H51 #a84e00
3172 P L55 C16 H52 #b15600
3173 S L58 C7 H46 #9c6e58
3174 S L61 C10 H45 #b36f4f
3175 P L61 C18 H52 #cc6200
3176 S L63 C12 H55 #c27236
3177 S L73 C11 H55 #dc9361
3178 S L73 C14 H51 #ed894a
3179 R L79 C21 H48 #ff9d6a
3180 P L81 C15 H53 #ffa86e
3181 P L84 C12 H58 #ffb882
3182 S L32 C5 H68 #452d12
3183 S L38 C8 H72 #5a3a08
3184 P L47 C12 H65 #824b00
3185 S L48 C10 H64 #84521a
3186 R L56 C14 H69 #a16300
3187 R L59 C15 H70 #ab6d00
3188 S L64 C6 H66 #a68462
3189 S L65 C14 H64 #c87814
3190 S L66 C11 H68 #bc8444
3191 S L73 C13 H70 #dc973d
3192 S L73 C16 H65 #ea8f19
3193 P L78 C18 H71 #f8a100
3194 S L81 C13 H67 #f9af5e
3195 R L82 C20 H73 #ffb33f
3196 R L84 C17 H69 #ffbb6b
3197 R L85 C21 H65 #ffbd7c
3198 R L87 C13 H64 #ffc691
3199 R L90 C13 H64 #ffd5af
3200 R L94 C7 H69 #ffe8cf
3201 S L30 C4 H86 #352b16
3202 S L49 C10 H85 #7b5b04
3203 P L62 C13 H83 #aa7d00
3204 P L70 C16 H78 #cf9100
3205 S L70 C10 H81 #c19950
3206 S L77 C7 H77 #ccae82
3207 S L78 C4 H79 #c7b69a
3208 S L79 C11 H85 #dcb662
3209 R L85 C20 H81 #ffc147
3210 P L86 C18 H82 #ffc656
3211 R L88 C19 H81 #ffd07d
3212 P L88 C13 H82 #ffd27c
3213 R L89 C21 H86 #ffd575
3214 R L90 C16 H77 #ffd699
3215 R L96 C7 H90 #fff1ce
3216 S L38 C7 H102 #4a4309
3217 S L40 C4 H103 #4c4a31
3218 P L46 C10 H96 #675600
3219 S L51 C8 H103 #6d672a
3220 R L61 C15 H96 #9b8200
3221 S L66 C7 H98 #9d9262
3222 S L73 C7 H99 #b2a978
3223 R L73 C18 H101 #bdaa00
3224 S L75 C13 H93 #cbab40
3225 S L77 C10 H102 #bfb66c
3226 S L77 C14 H100 #c9b639
3227 S L78 C13 H93 #d3b54b
3228 R L79 C20 H105 #cdc000
